City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
yazman,29.1212,71.7446,83.57,18.0,0.0,7.56,PK,1616788340.0
sola,-13.8833,167.55,82.29,74.0,99.0,12.48,VU,1616788344.0
racine,42.7495,-88.0751,41.0,80.0,90.0,6.91,US,1616788346.0
saskylakh,71.9167,114.0833,-3.55,100.0,99.0,3.09,RU,1616788351.0
vestmannaeyjar,63.4427,-20.2734,23.85,68.0,31.0,20.69,IS,1616788352.0
hasaki,35.7333,140.8333,37.4,87.0,0.0,2.3,JP,1616788354.0
dicabisagan,17.0818,122.4157,75.81,87.0,77.0,1.83,PH,1616788356.0
nizwa,22.9333,57.5333,78.3,30.0,9.0,4.81,OM,1616788143.0
freeport,40.6576,-73.5832,75.2,68.0,20.0,13.8,US,1616788210.0
sidney,-33.8679,151.2073,64.4,88.0,0.0,8.05,AU,1616788266.0
uyuni,-20.4597,-66.825,63.46,25.0,36.0,14.72,BO,1616788364.0
hirado,33.3597,129.5531,57.0,53.0,17.0,1.01,JP,1616788367.0
kapaa,22.0752,-159.319,75.2,88.0,75.0,5.46,US,1616788371.0
jumla,29.2747,82.1838,45.55,39.0,0.0,4.9,NP,1616788374.0
coahuayana,18.7333,-103.6833,80.6,36.0,40.0,9.01,MX,1616788376.0
laela,-8.5667,32.05,60.62,95.0,100.0,3.36,TZ,1616788378.0
sauce,-34.6469,-56.0628,73.4,88.0,90.0,8.05,UY,1616788379.0
tobol,52.6844,62.5794,20.52,89.0,100.0,6.29,KZ,1616788383.0
katsuura,35.1333,140.3,51.8,58.0,0.0,16.11,JP,1616788385.0
fez,34.0372,-4.9998,57.2,77.0,0.0,6.91,MA,1616788386.0
jiaojiang,28.6803,121.4428,62.01,98.0,43.0,3.67,CN,1616788388.0
kieta,-6.2167,155.6333,79.2,85.0,99.0,5.55,PG,1616788390.0
orlik,52.5178,99.825,14.99,90.0,100.0,5.48,RU,1616788392.0
georgetown,5.4112,100.3354,78.01,94.0,20.0,1.12,MY,1616788164.0
bluff,-46.6,168.3333,57.99,80.0,100.0,1.99,NZ,1616788395.0
airai,-8.9266,125.4092,59.43,92.0,94.0,2.04,TL,1616788397.0
tiksi,71.6872,128.8694,7.09,92.0,100.0,7.49,RU,1616788399.0
salalah,17.0151,54.0924,78.8,29.0,0.0,4.61,OM,1616788402.0
lavrentiya,65.5833,-171.0,-1.97,86.0,100.0,7.52,RU,1616788404.0
kirovsk,48.6375,38.6428,32.11,91.0,64.0,4.5,UA,1616788407.0
svetlograd,45.3353,42.8547,35.6,93.0,40.0,13.42,RU,1616788409.0
zhengjiatun,43.5064,123.5064,48.92,74.0,88.0,16.84,CN,1616788411.0
querecotillo,-4.8378,-80.6456,91.6,36.0,12.0,10.67,PE,1616788413.0
asyut,27.181,31.1837,60.8,48.0,0.0,13.8,EG,1616788329.0
macerata,43.2,13.1667,52.0,66.0,57.0,5.66,IT,1616788416.0
sohag,26.557,31.6948,62.6,39.0,0.0,10.36,EG,1616788418.0
atbasar,51.8,68.3333,24.85,92.0,100.0,7.45,KZ,1616788420.0
caravelas,-17.7125,-39.2481,80.65,65.0,0.0,7.14,BR,1616788421.0
constitucion,-35.3333,-72.4167,67.73,50.0,0.0,16.71,CL,1616788425.0
clarksburg,39.2807,-80.3445,62.01,51.0,90.0,11.5,US,1616788428.0
townsville,-19.25,146.8,78.8,89.0,40.0,8.05,AU,1616788411.0
zalantun,48.0,122.7167,30.79,85.0,2.0,4.92,CN,1616788433.0
thakurgaon,26.0333,88.4667,71.91,13.0,0.0,3.76,BD,1616788437.0
alabushevo,56.01,37.15,41.0,75.0,0.0,6.71,RU,1616788438.0
chitipa,-9.7024,33.2697,61.18,96.0,100.0,2.26,MW,1616788440.0
khatanga,71.9667,102.5,-12.41,99.0,91.0,2.37,RU,1616788444.0
coquimbo,-29.9533,-71.3436,66.2,59.0,0.0,14.97,CL,1616788198.0
sorong,-0.8833,131.25,79.3,83.0,92.0,3.69,ID,1616788254.0
fortuna,40.5982,-124.1573,57.99,66.0,1.0,10.36,US,1616788450.0
thompson,55.7435,-97.8558,24.8,86.0,90.0,3.44,CA,1616788452.0
sindor,62.8629,51.8905,22.57,95.0,47.0,3.89,RU,1616788454.0
beringovskiy,63.05,179.3167,-0.6,93.0,100.0,13.78,RU,1616788455.0
mragowo,53.8644,21.3051,37.4,100.0,99.0,4.85,PL,1616788457.0
sarangani,5.4033,125.4636,81.86,75.0,100.0,5.41,PH,1616788459.0
victoria,22.2855,114.1577,73.0,88.0,99.0,8.81,HK,1616788461.0
bethel,41.3712,-73.414,80.6,41.0,75.0,13.8,US,1616788466.0
pitimbu,-7.4706,-34.8086,84.2,70.0,75.0,14.97,BR,1616788468.0
juneau,58.3019,-134.4197,37.4,87.0,90.0,8.05,US,1616788209.0
leningradskiy,69.3833,178.4167,-24.09,97.0,67.0,3.31,RU,1616788471.0
torbay,47.6666,-52.7314,48.99,81.0,90.0,25.32,CA,1616788473.0
pitsunda,43.1592,40.3378,35.6,93.0,72.0,4.47,GE,1616788475.0
berlevag,70.8578,29.0864,33.8,64.0,0.0,35.68,NO,1616788479.0
kichera,55.9375,110.0997,17.08,80.0,94.0,6.22,RU,1616788481.0
phek,25.6667,94.5,44.94,36.0,0.0,1.83,IN,1616788483.0
buhe,30.2876,112.2298,55.99,94.0,98.0,4.61,CN,1616788485.0
cherskiy,68.75,161.3,-21.24,99.0,99.0,5.21,RU,1616788487.0
praia,14.9215,-23.5087,71.6,64.0,20.0,27.63,CV,1616788488.0
svetlaya,46.5389,138.3297,31.12,83.0,100.0,3.74,RU,1616788492.0
mahebourg,-20.4081,57.7,77.0,94.0,75.0,3.44,MU,1616788494.0
ust-nera,64.5667,143.2,-17.79,97.0,99.0,3.76,RU,1616788495.0
dakar,14.6937,-17.4441,69.8,88.0,0.0,13.8,SN,1616788306.0
taber,49.8167,-112.1518,37.0,69.0,75.0,5.75,CA,1616788499.0
havre-saint-pierre,50.2334,-63.5986,37.4,48.0,1.0,18.41,CA,1616788504.0
saint-francois,46.4154,3.9054,52.0,87.0,88.0,3.44,FR,1616788505.0
ulaangom,49.9811,92.0667,12.31,60.0,0.0,6.69,MN,1616788509.0
nuuk,64.1835,-51.7216,-0.4,50.0,40.0,19.57,GL,1616788511.0
chernyshevskiy,63.0128,112.4714,-6.63,100.0,85.0,3.76,RU,1616788512.0
batticaloa,7.7102,81.6924,80.58,82.0,100.0,2.51,LK,1616788514.0
cobija,-11.0267,-68.7692,89.6,62.0,40.0,5.75,BO,1616788518.0
ust-tsilma,65.441,52.1498,25.88,91.0,97.0,6.96,RU,1616788523.0
ballina,-28.8667,153.5667,62.6,94.0,57.0,5.41,AU,1616788524.0
gizo,-8.103,156.8419,82.58,75.0,100.0,7.34,SB,1616788526.0
newport,51.5877,-2.9984,44.01,84.0,53.0,1.99,GB,1616788528.0
sadiqabad,28.3062,70.1307,82.26,19.0,0.0,6.35,PK,1616788531.0
mahanoro,-19.9,48.8,75.6,92.0,46.0,3.09,MG,1616788535.0
pisco,-13.7,-76.2167,77.0,61.0,0.0,24.16,PE,1616788540.0
sisimiut,66.9395,-53.6735,-5.4,79.0,82.0,12.15,GL,1616788541.0
mildura,-34.2,142.15,59.0,72.0,100.0,6.91,AU,1616788543.0
usinsk,65.9939,57.5281,12.96,96.0,80.0,8.66,RU,1616788545.0
nemuro,43.3236,145.575,29.05,67.0,0.0,22.66,JP,1616788547.0
taltal,-25.4,-70.4833,68.65,69.0,24.0,6.73,CL,1616788549.0
salta,-24.7859,-65.4117,71.6,68.0,75.0,20.71,AR,1616788550.0
toora-khem,52.4675,96.11,18.03,88.0,55.0,6.04,RU,1616788552.0
oranjemund,-28.55,16.4333,62.11,81.0,0.0,2.48,NA,1616788554.0
sept-iles,50.2001,-66.3821,37.0,44.0,90.0,16.11,CA,1616788354.0
aklavik,68.2191,-135.0107,-2.2,77.0,100.0,8.05,CA,1616788561.0
marolambo,-20.05,48.1167,71.42,98.0,84.0,1.5,MG,1616788563.0
monrovia,6.3005,-10.7969,80.6,83.0,20.0,3.44,LR,1616788567.0
galle,6.0367,80.217,77.49,87.0,100.0,5.48,LK,1616788569.0
keuruu,62.2667,24.7,35.6,80.0,0.0,6.91,FI,1616788571.0
vao,-22.6667,167.4833,77.81,76.0,9.0,13.35,NC,1616788573.0
kaitangata,-46.2817,169.8464,53.85,79.0,76.0,2.86,NZ,1616788575.0
lorengau,-2.0226,147.2712,79.72,81.0,100.0,4.16,PG,1616788580.0
kahului,20.8947,-156.47,78.8,73.0,20.0,3.44,US,1616788583.0
narsaq,60.9167,-46.05,12.2,40.0,1.0,4.61,GL,1616788585.0
tura,25.5198,90.2201,71.83,13.0,0.0,3.0,IN,1616788588.0
neman,55.0311,22.0264,43.81,76.0,11.0,1.52,RU,1616788590.0
bambanglipuro,-7.95,110.2833,76.8,89.0,87.0,2.95,ID,1616788592.0
hanyang,32.1371,105.5126,59.0,72.0,97.0,1.7,CN,1616788593.0
mikhaylovka,50.06,43.2379,30.99,86.0,100.0,8.95,RU,1616788595.0
borodino,55.9106,94.8983,24.28,91.0,97.0,11.92,RU,1616788597.0
shingu,33.7333,135.9833,45.34,46.0,23.0,4.83,JP,1616788599.0
mahina,-17.5065,-149.489,86.0,66.0,40.0,4.61,PF,1616788404.0
faya,18.3851,42.4509,66.2,63.0,0.0,1.39,SA,1616788605.0
sawtell,-30.3833,153.1,64.4,88.0,40.0,5.75,AU,1616788609.0
stykkisholmur,65.0757,-22.7297,17.73,66.0,100.0,14.52,IS,1616788610.0
portland,45.5234,-122.6762,51.01,66.0,90.0,0.25,US,1616787903.0
varhaug,58.6147,5.6457,42.01,97.0,100.0,5.99,NO,1616788614.0
tambacounda,13.7539,-13.7586,104.0,33.0,0.0,4.61,SN,1616788617.0
nishihara,26.1842,127.7558,69.8,78.0,20.0,11.5,JP,1616788619.0
wahpeton,46.2652,-96.6059,45.0,65.0,1.0,17.27,US,1616788624.0
carbonia,39.1672,8.5222,55.99,94.0,0.0,5.75,IT,1616788398.0
poum,-20.2333,164.0167,79.84,73.0,7.0,13.49,NC,1616788627.0
teya,60.3778,92.6267,20.5,94.0,100.0,6.11,RU,1616788629.0
tuktoyaktuk,69.4541,-133.0374,-7.6,77.0,90.0,12.66,CA,1616788631.0
huambo,-12.7761,15.7392,60.69,94.0,100.0,3.31,AO,1616788633.0
tarauaca,-8.1614,-70.7656,82.45,85.0,41.0,2.3,BR,1616788639.0
ishigaki,24.3448,124.1572,73.06,84.0,3.0,19.28,JP,1616788641.0
niamey,13.5137,2.1098,96.8,11.0,15.0,10.36,NE,1616788643.0
hajnowka,52.7433,23.5812,37.0,71.0,7.0,1.01,PL,1616788565.0
kambam,5.2505,96.8629,78.6,81.0,100.0,5.28,ID,1616788646.0
awka,6.2101,7.0741,87.8,66.0,16.0,3.65,NG,1616788648.0
vanimo,-2.6741,141.3028,76.55,89.0,99.0,4.85,PG,1616788650.0
kalmunai,7.4167,81.8167,79.47,84.0,100.0,1.86,LK,1616788581.0
omboue,-1.5746,9.2618,78.15,80.0,79.0,6.98,GA,1616788653.0
raudeberg,61.9875,5.1352,44.01,89.0,100.0,30.82,NO,1616788655.0
khorinsk,52.1657,109.7726,22.75,91.0,100.0,5.14,RU,1616788657.0
samarinda,-0.5,117.15,73.04,99.0,100.0,0.65,ID,1616788659.0
sur,22.5667,59.5289,79.43,53.0,93.0,7.72,OM,1616788660.0
souillac,-20.5167,57.5167,77.0,94.0,75.0,3.44,MU,1616788664.0
bilma,18.6853,12.9164,70.25,14.0,0.0,10.67,NE,1616788666.0
esso,55.9333,158.7,-4.88,98.0,57.0,4.21,RU,1616788667.0
saint-georges,12.0564,-61.7485,84.2,65.0,20.0,21.85,GD,1616788447.0
skjervoy,70.0311,20.9714,39.2,52.0,0.0,9.22,NO,1616788671.0
naze,28.3667,129.4833,63.3,68.0,2.0,13.35,JP,1616788674.0
wanning,18.8003,110.3967,71.55,88.0,65.0,2.46,CN,1616788677.0
omsukchan,62.5333,155.8,-22.45,94.0,22.0,3.51,RU,1616788681.0
ixtapa,20.7,-105.2,73.4,68.0,75.0,11.5,MX,1616788683.0
kumba,4.6363,9.4469,77.2,82.0,100.0,1.77,CM,1616788684.0
shahe,39.2708,113.5478,44.04,83.0,2.0,3.94,CN,1616788686.0
korla,41.7597,86.1469,56.53,29.0,100.0,3.02,CN,1616788688.0
isangel,-19.55,169.2667,78.55,83.0,13.0,6.11,VU,1616788615.0
goundam,16.4145,-3.6708,80.04,5.0,0.0,8.86,ML,1616788693.0
hualmay,-11.0964,-77.6139,74.46,72.0,34.0,9.84,PE,1616788696.0
castro,-24.7911,-50.0119,79.74,61.0,20.0,4.74,BR,1616788698.0
kangaba,11.9333,-8.4167,88.59,11.0,5.0,5.23,ML,1616788700.0
ust-kuyga,70.0167,135.6,-4.18,93.0,100.0,5.84,RU,1616788702.0
kintampo,8.0563,-1.7306,89.44,32.0,30.0,4.61,GH,1616788704.0
escanaba,45.7453,-87.0646,37.99,64.0,90.0,5.75,US,1616788705.0
morondava,-20.2833,44.2833,78.04,74.0,0.0,5.88,MG,1616788529.0
shiyan,32.6475,110.7781,51.76,92.0,74.0,5.73,CN,1616788710.0
machico,32.7,-16.7667,66.2,88.0,40.0,8.05,PT,1616788712.0
jiuquan,39.7432,98.5174,47.28,24.0,0.0,3.53,CN,1616788715.0
meiktila,20.8667,95.8667,81.66,25.0,62.0,2.95,MM,1616788717.0
dukat,62.55,155.55,-20.52,90.0,17.0,3.51,RU,1616788719.0
lipovtsy,44.2014,131.7244,36.9,81.0,100.0,18.1,RU,1616788721.0
iralaya,15.0,-83.2333,82.38,68.0,18.0,12.57,HN,1616788723.0
nanortalik,60.1432,-45.2371,12.61,64.0,76.0,14.63,GL,1616788724.0
tokur,53.1333,132.9,2.66,96.0,93.0,3.69,RU,1616788731.0
namibe,-15.1961,12.1522,74.28,83.0,100.0,5.66,AO,1616788649.0
chara,56.9064,118.2631,19.54,92.0,100.0,1.77,RU,1616788737.0
sala,34.0389,-6.8166,62.01,55.0,0.0,5.75,MA,1616788742.0
canavieiras,-15.675,-38.9472,80.53,68.0,0.0,7.09,BR,1616788744.0
zafra,38.4167,-6.4167,60.8,55.0,0.0,4.61,ES,1616788746.0
kavaratti,10.5669,72.642,83.17,73.0,29.0,3.02,IN,1616788748.0
tabou,4.423,-7.3528,79.02,87.0,2.0,6.26,CI,1616788751.0
alexandria,31.2156,29.9553,57.2,44.0,40.0,11.5,EG,1616788753.0
ascope,-7.7144,-79.1078,73.4,78.0,0.0,14.97,PE,1616788755.0
hofn,64.2539,-15.2082,23.29,62.0,100.0,27.78,IS,1616788757.0
labytnangi,66.6572,66.4183,4.03,92.0,69.0,5.12,RU,1616788758.0
mbour,14.422,-16.9638,69.8,73.0,1.0,20.71,SN,1616788760.0
dingle,10.9995,122.6711,75.74,90.0,68.0,6.87,PH,1616788765.0
buraydah,26.326,43.975,78.8,34.0,0.0,3.44,SA,1616788558.0
fougamou,-1.2154,10.5838,76.64,84.0,96.0,3.13,GA,1616788768.0
kruisfontein,-34.0033,24.7314,68.0,67.0,28.0,1.99,ZA,1616788772.0
whitehorse,60.7161,-135.0538,30.2,69.0,75.0,5.75,CA,1616788563.0
nevelsk,46.6733,141.8633,12.2,92.0,47.0,2.24,RU,1616788775.0
ilulissat,69.2167,-51.1,-7.6,45.0,1.0,1.3,GL,1616788777.0
tuatapere,-46.1333,167.6833,57.99,80.0,100.0,1.99,NZ,1616788654.0
alenquer,-1.9417,-54.7383,84.2,74.0,75.0,5.75,BR,1616788780.0
kirakira,-10.4544,161.9205,80.37,83.0,84.0,8.41,SB,1616788782.0
beinamar,8.6698,15.3813,86.99,14.0,100.0,3.36,TD,1616788784.0
acarau,-2.8856,-40.12,77.45,83.0,99.0,10.54,BR,1616788786.0
bijar,35.8668,47.6051,40.8,47.0,0.0,6.42,IR,1616788787.0
sibu,2.3,111.8167,75.2,94.0,40.0,3.44,MY,1616788669.0
skibbereen,51.55,-9.2667,37.4,75.0,20.0,12.66,IE,1616788792.0
asau,46.4333,26.4,35.01,55.0,7.0,4.47,RO,1616788797.0
